name,Base Note,Department,Heart/Middle Note,link,Scents/Notes,Size,Top Note,price,concentration
DOORSCENT Lamour Des Rouge,"cederwood,resin",Unisex,amberwoodambergris,https://www.noon.com/uae-en/lamour-des-rouge-edp-100ml/N41707531A/p?o=a20a89999e50250b,Fresh,100ml,,228.0,EDP
DOORSCENT Orchid Noir,"vanilla,oakmoss,patchouli,agerwood",Unisex,"rose,floral",https://www.noon.com/uae-en/orchid-noir-edp-100ml/N41707549A/p?o=a9d4833b6bdccf5c,Fresh,100ml,,227.5,EDP
DOORSCENT Oud Afgano,"incense,agarwood",Unisex,,https://www.noon.com/uae-en/oud-afgano-edp-100ml/N41707545A/p?o=c1a07109ad3665fa,Fresh,100ml,,205.0,EDP
DOORSCENT Oud De Zario,agarwood,Unisex,,https://www.noon.com/uae-en/oud-de-zario-edp-100ml/N41707548A/p?o=afafb2c658fbacfb,Fresh,100ml,,227.5,EDP
DOORSCENT Sava Polo,"vanilla,sandalwood,musk",Unisex,rosepatchoulijasmine,https://www.noon.com/uae-en/sava-polo-edp-100ml/N41707535A/p?o=d03d5dcdd68f70bb,Fresh,100ml,,200.0,EDP
DOORSCENT Sava Polo,"vanilla,sandalwood,musk",Unisex,"rose,patchouli,jasmine",https://www.noon.com/uae-en/sava-polo-edp-30ml/N41707528A/p?o=c022f10669fd4f2d,Fresh,30ml,,35.0,EDP
DOORSCENT Sliver Mountage,"vanilla,musk,sandalwood",Unisex,,https://www.noon.com/uae-en/sliver-mountage-edp-100ml/N41707547A/p?o=bd952ed12498c71b,Fresh,100ml,,203.0,EDP
DOORSCENT So Charm,"vetiver,musk,patchouli,amber,vanilla",Unisex,"cedarwoodmusk,honey",https://www.noon.com/uae-en/so-charm-edp-100ml/N41707532A/p?o=c952c20668e2f0fa,Fresh,100ml,,312.0,EDP
DOORSCENT The English,"patchouli,sandalwood,agerwood",Unisex,"cedarwood,musk,honey",https://www.noon.com/uae-en/the-english-edp-100ml/N41707527A/p?o=ac7d3ce9b72a7eba,Fresh,100ml,,234.0,EDP
DOORSCENT Vagues Noires Gold,"musk,agarwood",Unisex,"amberwood,sandalwood",https://www.noon.com/uae-en/vagues-noires-gold-edp-100ml/N41707534A/p?o=e4c3be2a73f0d25b,Fresh,100ml,,208.0,EDP
DORALL COLLECTION Golden Blaze,"musk,patchouli,amber",Women,"ylangylangg,jasmine",https://www.noon.com/uae-en/golden-blaze-edp-100ml/N19501412A/p?o=da924997e88ef1be,Musk,100ml,"raspberry,bergamot,orangeflower",55.0,EDP
DORALL COLLECTION Orientals Oud Khaliji PDT,"musk,cashmere,woods,spices",Unisex,"bourbonvetiver,haitianvetiver",https://www.noon.com/uae-en/orientals-oud-khaliji-pdt-100ml/N19501408A/p?o=e0ef2ca7f19bcf4e,,100ml,"cypress,vetiverfraction",65.0,EDP
DSQUAREDWant,"vanillafrommadagascar,vanillaabsolute,violetwood",Women,"damaskrose,heliotrope,neroli",https://www.noon.com/uae-en/want-edp-50ml/N11202026A/p?o=5ee2f2f5d523423e,Fruity,50ml,"mandarin,ginger,pinkpepper",154.9,EDP
Darcy Parfums Parfums De Marly,"woods,gourmand,whitemusk",Women,"floral,jasmine",https://www.noon.com/uae-en/parfums-de-marly-edp-75ml/N11202552A/p?o=c257ef44e4033c6e,,75ml,"bergamot,citrus",609.9,EDP
Dehen wood Dehen Oud AlShiokh,wood,Unisex,sweet,https://www.noon.com/uae-en/dehen-oud-alshiokh-3ml/N44019294A/p?o=df2889503d4d468a,Arabian,3ml,,100.0,EDP
Dehen wood Dehen Oud Futaim,wood,Unisex,sweet,https://www.noon.com/uae-en/dehen-oud-futaim-3ml/N44019293A/p?o=f931163d194257bc,Arabian,3ml,,100.0,EDP
Dehen wood Dehen Oud Hindi Qadeem,sweet,Unisex,wood,https://www.noon.com/uae-en/dehen-oud-hindi-qadeem-3ml/N44019295A/p?o=b7d2762073e51eec,Arabian,3ml,,250.0,EDP
Dehen wood Dehen Oud Mariam,wood,Unisex,sweet,https://www.noon.com/uae-en/dehen-oud-mariam-30ml/N40842331A/p?o=d676b7fa5f1c5fdf,Arabian,30ml,,100.0,EDP
Dehen wood Dehen Oud Shaikha,wood,Unisex,sweet,https://www.noon.com/uae-en/dehen-oud-shaikha-3ml/N44019296A/p?o=c209f91456331b2e,Arabian,3ml,,100.0,EDP
Dehen wood Hair Mist Al Oud,vanilla,Unisex,sweet,https://www.noon.com/uae-en/hair-mist-al-oud-30ml/N40842330A/p?o=c21c522c603183ab,Arabian,30ml,,90.0,EDP
Dehen wood Hair Mist Dana Abu Dhabi,anbar,Unisex,sweet,https://www.noon.com/uae-en/hair-mist-dana-abu-dhabi-30ml/N40842329A/p?o=cf36e345c35a91ad,Fresh,30ml,,90.0,EDP
Dehen wood Hair Mist Dana Al Ain,feather,Unisex,wood,https://www.noon.com/uae-en/hair-mist-dana-al-ain-30ml/N40842328A/p?o=c477c65117d8ecbd,Arabian,30ml,,90.0,EDP
Dehen wood Hair Mist Dana Dubai,"barceloni,vanilla",Unisex,"misk,jasemine",https://www.noon.com/uae-en/hair-mist-dana-dubai-30ml/N40842327A/p?o=b40504c4f1c8d45c,Fresh,30ml,,90.0,EDP
Dehen wood Perfume Dana Dubai,"barceloni,vanilla",Unisex,"misk,jasemine",https://www.noon.com/uae-en/perfume-dana-dubai-100ml/N40842325A/p?o=c13f14bf56af523e,Fresh,100ml,,100.0,EDP
Dehen wood Perfume Dehen Syofi,vanilla,Unisex,sweet,https://www.noon.com/uae-en/perfume-dehen-syofi-100ml/N40842324A/p?o=ddd4d53c9308b9ea,Arabian,100ml,,100.0,EDP
Dehen wood Perfume Oud Cambodi,feather,Unisex,wood,https://www.noon.com/uae-en/perfume-oud-cambodi-50ml/N40842326A/p?o=a5176a7ac1dced9d,Arabian,50ml,,125.0,EDP
Dermacol Bitter Cacao and Vanilla,"vanilla,whitemusk,vetyver",Unisex,"peony,wood,chocolate",https://www.noon.com/uae-en/bitter-cacao-and-vanilla-edp-50ml/N43604760A/p?o=c919e69fc5fcfb7a,Floral,50ml,,150.0,EDP
Dermacol Black Amber and Patchouli,"oakmoss,ambergis,musk",Unisex,"moroccanjasmine,rose,birch,patchouli",https://www.noon.com/uae-en/black-amber-and-patchouli-edp-50ml/N43604764A/p?o=f3147e2c2751926d,Citrus,50ml,,150.0,EDP
Dermacol Guatemala Cardamon and Basil,"vetiver,cedar,amber,whitemusk",Unisex,"jasmine,basil,carvi,nutmeg,violet,lily",https://www.noon.com/uae-en/guatemala-cardamon-and-basil-edp-50ml/N43604759A/p?o=e4a2164e5101f53e,Spicy,50ml,,150.0,EDP
Dermacol Honey Pomelo and Neroli,sandalwood,Unisex,"basal,peony",https://www.noon.com/uae-en/honey-pomelo-and-neroli-edp-50ml/N43604765A/p?o=d00875f57012e3df,Citrus,50ml,,150.0,EDP
Dermacol Lilly of the Valley and Fresh Citrus,"cedarwood,whitemusk",Unisex,"jasmine,lily,violet",https://www.noon.com/uae-en/lilly-of-the-valley-and-fresh-citrus-edp-50ml/N43604761A/p?o=c89acffa7053adbd,Citrus,50ml,,150.0,EDP
Dermacol Magnolia and Passion Fruit,"cedarwood,oakmoss,ambergris,musk",Unisex,"lily,peony,peach",https://www.noon.com/uae-en/magnolia-and-passion-fruit-edp-50ml/N43604757A/p?o=ce08926c1384eccf,Fruity,50ml,,150.0,EDP
Dermacol Sandalwood and Mandarin,"musk,mossyelements",Unisex,"geranium,gardenia,rose,sandalwood",https://www.noon.com/uae-en/sandalwood-and-mandarin-edp-50ml/N43604758A/p?o=d9c6db9d04541b3c,Citrus,50ml,,150.0,EDP
Dermacol Sea Salt and Lime,"patchouli,mus",Unisex,"lavender,blackcurrent",https://www.noon.com/uae-en/sea-salt-and-lime-edp-50ml/N43604763A/p?o=c095e2a1438c080b,Citrus,50ml,,150.0,EDP
Dermacol Sweet Jasmine and Patchouli,"vanilla,tonka",Unisex,"pineapple,peach,orris,jasmine,rose",https://www.noon.com/uae-en/sweet-jasmine-and-patchouli-edp-50ml/N43604756A/p?o=cf6dbd39c16d1f4e,Floral,50ml,,150.0,EDP
Dermacol Sweet Orange and Honeysuckle,"cedarwood,musk",Unisex,"lavender,jasmine,rose",https://www.noon.com/uae-en/sweet-orange-and-honeysuckle-edp-50ml/N43604762A/p?o=a863272a45b14fdf,Fruity,50ml,,150.0,EDP
Dior Absolutely Blooming,whitemusk,Women,"mayrose,peony",https://www.noon.com/uae-en/absolutely-blooming-edp-100ml/N14778413A/p?o=d9b85f649f49a64c,,100ml,,323.05,EDP
Dior Absolutely Blooming,whitemusk,Women,mayrosepeony,https://www.noon.com/uae-en/absolutely-blooming-edp-50ml/N13790042A/p?o=cbf6ef7f581eed8e,Floral,50ml,,370.9,EDP
Dior Addict,"vanilla,tonka,sandalwood",Women,"nightbloomingcereus,bulgarianrose",https://www.noon.com/uae-en/addict-edp-100ml/N36641710A/p?o=dcda19a93a2fe8ff,,100ml,,512.95,EDP
Dior Addict,"vanilla,tonka,sandalwood",Women,"nightbloomingcereus,bulgarianrose",https://www.noon.com/uae-en/addict-edp-50ml/N13580472A/p?o=c0022a5368a586ba,,50ml,,310.05,EDP
Dior Addict For Women,"vanilla,tonka,sandalwood",Women,"jasmine,nightbloomingcereus,orangeblossom,rose",https://www.noon.com/uae-en/addict-edp-for-women-100ml/N11201258A/p?o=ef8418c76ab2968e,,100ml,"blackberry,mandarinleaf",439.0,EDP
Dior Ambre Nuit Christian Dior,,Unisex,,https://www.noon.com/uae-en/ambre-nuit-christian-dior-edp-250ml/N14790163A/p?o=c1ca73c1db4cd72b,Floral,250ml,"amber,rose,pinkpepper,bergamot,grapefruit",1695.0,EDP
Dior Bois D'argent,"honey,leather,amber,musk,vanilla,woodsynotes,resins",Unisex,"patchouli,myrhh",https://www.noon.com/uae-en/bois-d-argent-edp-125ml/N13789896A/p?o=c76be47e292edecf,,125ml,,991.2,EDP
Dior Christian Fahrenheit,bourbonvanilla,Men,"violetleaf,coriander,cumin",https://www.noon.com/uae-en/christian-fahrenheit-edp-75ml/N13580288A/p?o=ddb6ddefeaf8e07f,Oriental,75ml,"suede,licorice,sicilianmandarin",365.0,EDP
Dior EAU Savage,"myrrh,oakmoss,patchouli",Men,"vetiver,lavender,hedione",https://www.noon.com/uae-en/eau-savage-parfum-100ml/N18287069A/p?o=a446ba85cd08756d,Citrus,100ml,,385.5,Parfum
Dior Fahrenheit,bourbonvanilla,Men,"violetleaf,coriander,caraway",https://www.noon.com/uae-en/fahrenheit-parfum-75ml/N37974479A/p?o=b7269de0ffad82eb,,75ml,"sicilianmandarin,sweetliquoriceroot",429.95,Parfum
Dior Gris Montaigne,"amber,cedar,sandalwood,woodymoss",Women,"rose,patchouli,jasmine",https://www.noon.com/uae-en/gris-montaigne-edp-125ml/N11201685A/p?o=f1d10b745157a3bd,Woody,125ml,bergamot,1265.95,EDP
Dior Homme Intense,"virginiacedar,vetiver",Men,"iris,ambrettemuskmallow,pear",https://www.noon.com/uae-en/homme-intense-edp-100ml/N26636673A/p?o=fa30f93feb00003c,,100ml,lavender,403.0,EDP
Dior Homme Intense,"vetiver,virginiacedar",Men,"iris,ambrettemuskmallow,pear",https://www.noon.com/uae-en/homme-intense-edp-150ml/N13580480A/p?o=e5baf0a38705867b,Woody,150ml,lavender,475.9,EDP
Dior Hypnotic Poison,"tonka,vanilla",Women,"jasminesambac,orangeblossom",https://www.noon.com/uae-en/hypnotic-poison-edp-100ml/N11074957A/p?o=a0a0972751be718c,Oriental,100ml,"licorice,almond",405.0,EDP
Dior Hypnotic Poison,"vanilla,tonka",Women,"jasminesambac,orangeblossom",https://www.noon.com/uae-en/hypnotic-poison-edp-50ml/N11756362A/p?o=f8fcaba6c85194be,,50ml,,373.65,EDP
Dior Intence,"vetiver,virginiacedar",Men,"iris,ambrette,pear",https://www.noon.com/uae-en/intence-edp-100ml/N32187337A/p?o=fe958ebcc279deeb,,100ml,,459.0,EDP
Dior Intense,"virginiacedar,vetiver",Men,"iris,ambrettemuskmallow,pear",https://www.noon.com/uae-en/intense-edp-100ml/N30765544A/p?o=b0e0141338c0f32f,,100ml,,439.0,EDP
Dior Intense,"vetiver,virginiacedar",Men,"ambrette,iris,pear",https://www.noon.com/uae-en/intense-edp-50ml/N13784631A/p?o=fd2a6a2d69024eac,,50ml,,331.65,EDP
Dior Intense For Men,virginiacedar,Men,ambretteecuador,https://www.noon.com/uae-en/intense-edp-for-men-100ml/N11202014A/p?o=abdc6f418bccaeaf,,100ml,tuscaniris,405.4,EDP
Dior J'adore,"musk,vanilla,blackberry,cedar",Women,"jasmine,lily,tuberose,freesia,rose,orchid,plum,violet",https://www.noon.com/uae-en/j-adore-edp-150ml/N11074955A/p?o=88151217bc637029,,150ml,"pear,melon,magnolia,peach,mandarinorange,bergamot",516.5,EDP
Dior J'adore,"musk,vanilla,blackberry,cedar",Women,"jasmine,lily,tuberose,freesia,rose,orchid,plum,violet",https://www.noon.com/uae-en/j-adore-edp-50ml/N11200655A/p?o=abf0790be0a8e72b,,50ml,,290.54,EDP
Dior J'adore For Women,"musk,vanilla,blackberry,cedar",Women,"jasmine,lily,tuberose,freesia,rose,orchid,plum,violet",https://www.noon.com/uae-en/j-adore-edp-for-women-100ml/N32522927A/p?o=f2d67503bda30dab,,100ml,,416.0,EDP
Dior J'adoreSpray,"amaranth,musk,blackberry",Women,"jasmine,plum,orchid,rose",https://www.noon.com/uae-en/j-adore-edp-spray-30ml/N32260865A/p?o=ca07f07364e3334b,,30ml,,491.95,EDP
Dior JOY,"whitemusk,sandalwood,cedar,patchouli,benzoin",Women,"jasmine,grasserose,peach,cassis",https://www.noon.com/uae-en/joy-edp-90ml/N18835102A/p?o=bc3c60e6c27f82bd,Citrus,90ml,,301.05,EDP
Dior J`adore,"musk,vanilla,cedar,blackberry",Women,"jasmine,lily,tuberose,freesia,rose,orchid,plum,violet",https://www.noon.com/uae-en/j-adore-edp-100ml/N13581492A/p?o=f211d89dab755aeb,,100ml,,439.9,EDP
Dior Jadore Absolu,orangeblossom,Women,"jasmine,mayrose,indiantuberose",https://www.noon.com/uae-en/jadore-absolu-edp-50ml/N26481753A/p?o=bdf966f33061d56b,,50ml,,379.95,EDP
Dior Jadore,"amaranth,musk,blackberry",Women,"jasmine,plum,orchid,rose",https://www.noon.com/uae-en/jadore-edp-100ml/N30765675A/p?o=cf542d207c34010b,Floral,100ml,,333.9,EDP
Dior Jadore,"musk,vanilla,blackberry,cedar",Women,"jasmine,lily,tuberose,freesia,rose,orchid,plum,violet",https://www.noon.com/uae-en/jadore-edp-30ml/N26880262A/p?o=c31b9e5c4a3bc1ab,Floral,30ml,"pear,melon,magnolia,peach,mandarinorange,bergamot",401.5,EDP
Dior Jadore,"musk,vanilla,blackberry,cedar",Women,"jasmine,lily,tuberose,freesia,rose,orchid,plum,violet",https://www.noon.com/uae-en/jadore-edp-50ml/N36648054A/p?o=a673059f593ee1ae,,50ml,,355.0,EDP
Dior Jadore,"musk,vanilla,blackberry,cedar",Women,"jasmine,lily,tuberose,freesia,rose,orchid,plum,violet",https://www.noon.com/uae-en/jadore-edp-5ml/N41874552A/p?o=e449fbffa5c9adfc,,5ml,,49.0,EDP
Dior Jadore,"musk,vanilla,blackberry,cedar",Women,"jasmine,lily,tuberose,freesia,rose,orchid,plum,violet",https://www.noon.com/uae-en/jadore-edp-75ml/N36645461A/p?o=ab4573efa50a448f,Floral,75ml,"pear,melon,magnolia,peach,mandarinorange,bergamot",440.0,EDP
Dior Joy,"sandalwood,cedar,whitemusk,patchouli,benzoin",Women,"grasserose,jasmine,cassis,peach",https://www.noon.com/uae-en/joy-edp-50ml/N29710301A/p?o=ec83e6aaebff71fa,,50ml,,304.0,EDP
Dior Joy,"benzoin,patchouli,whitemusk,cedar,sandalwood",Women,"peach,cassis,jasmine,grasserose",https://www.noon.com/uae-en/joy-edp-90ml/N37974335A/p?o=c36b61d6a2166ebf,,90ml,,340.3,EDP
Dior Joy For Women,"whitemusk,sandalwood,cedar,patchouli,benzoin",Women,"grasserose,jasmine,cassis,peach",https://www.noon.com/uae-en/joy-edp-for-women-90ml/N28545881A/p?o=c93c2248be31490d,Citrus,90ml,"bergamot,mandarinorange",342.1,EDP
Dior Joy Intense,"vanilla,musk,sandalwood,tonka",Women,"jasmine,grasserose",https://www.noon.com/uae-en/joy-intense-edp-50ml/N33904899A/p?o=e21209f0c68d991d,,50ml,,359.65,EDP
Dior Joy Intense For Women,"vanilla,musk,sandalwood,tonka",Women,"jasmine,grasserose",https://www.noon.com/uae-en/joy-intense-edp-for-women-90ml/N33904900A/p?o=f9d101c63ba8b5ad,Vanilla,90ml,"neroli,bergamot",408.05,EDP
Dior Miss Absolutely Blooming,whitemusk,Women,"mayrose,peony",https://www.noon.com/uae-en/miss-absolutely-blooming-edp-100ml/N36969377A/p?o=fcb4836093ef11dd,,100ml,,385.5,EDP
Dior Miss Absolutely Blooming,whitemusk,Women,"mayrose,peony",https://www.noon.com/uae-en/miss-absolutely-blooming-edp-50ml/N14798954A/p?o=bbc0bb25d5a10b7b,,50ml,,307.0,EDP
Dior Miss Dior,"patchouli,palisanderrosewood",Women,"grasserose,damaskrose,jasmineleaf",https://www.noon.com/uae-en/miss-dior-edp-100ml/N15566928A/p?o=da55b0577360afca,Citrus,100ml,"pinkpepper,bloodorange,sweetorange,mandarinorange,calabrianbergamot,lemon",402.9,EDP
Dior Miss Dior Absolutely Blooming,whitemusk,Women,"mayrose,peony",https://www.noon.com/uae-en/miss-dior-absolutely-blooming-100ml/N28545880A/p?o=b12c8902e0508c8e,,100ml,,435.5,EDP
Dior Miss Dior Absolutely Blooming,whitemusk,Women,"mayrose,peony",https://www.noon.com/uae-en/miss-dior-absolutely-blooming-edp-50ml/N11074938A/p?o=cbf9fd3a2df35f7b,,50ml,,370.9,EDP
Dior Miss Dior Cherie,"vetiver,sandalwood,patchouli,oakmoss,amber",Women,"rose,jasmine",https://www.noon.com/uae-en/miss-dior-cherie-edp-100ml/N14789832A/p?o=a63ed527c6534c8e,,100ml,,439.0,EDP
Dior Miss Dior Cherie,"patchouli,palisanderrosewood",Women,"grasserose,damaskrose,jasmineleaf",https://www.noon.com/uae-en/miss-dior-cherie-edp-5ml/N41874551A/p?o=e92be82c6d74e27d,,5ml,,39.0,EDP
Dior Miss Dior,whitemusk,Women,"mayrose,peony",https://www.noon.com/uae-en/miss-dior-edp-30ml/N30619344A/p?o=a63eb34435db04ce,,30ml,,225.0,EDP
Dior Miss Dior,"patchouli,palisanderrosewood",Women,"grasserose,damaskrose,jasmineleaf",https://www.noon.com/uae-en/miss-dior-edp-50ml/N13234227A/p?o=e2ad339a9a86614b,Citrus,50ml,"pinkpepper,bloodorange,sweetorange,mandarinorange,calabrianbergamot,lemon",298.85,EDP
Dior Miss Dior,indonesianpatchouliessence,Women,damascusrose,https://www.noon.com/uae-en/miss-dior-parfum-edp-30ml/N11076067A/p?o=c4646b44532bde3b,Floral,30ml,italianmandarin,308.0,EDP
Dior Miss Pour Femme,calabrianbergamot,Women,grasserose,https://www.noon.com/uae-en/miss-pour-femme-edp-50ml/N11200658A/p?o=b97310f139b4818e,,50ml,,298.75,EDP
Dior New Look,"benzoin,vanilla",Unisex,"rose,jasmine,tuberose,ylangylangg,gardenia",https://www.noon.com/uae-en/new-look-1947-edp-125ml/N11804081A/p?o=d7a4b26b4bd6879f,Floral,125ml,,1323.45,EDP
Dior Oud Ispahan,"sandalwood,agarwoodoud,cedar",Women,"patchouli,rose,saffron",https://www.noon.com/uae-en/oud-ispahan-edp-125ml/N25488557A/p?o=a735432dfe6fcdfd,,125ml,,820.4,EDP
Dior Oud Ispahan,"sandalwood,agarwood,cedar",Unisex,"patchouli,rose,saffron",https://www.noon.com/uae-en/oud-ispahan-edp-125ml/N13582330A/p?o=e86967b7ee62d0cf,,125ml,,1000.0,EDP
Dior Oud Ispahan,"agarwoodoud,sandalwood,cedar",Unisex,"rose,patchouli,saffron",https://www.noon.com/uae-en/oud-ispahan-edp-250ml/N11074930A/p?o=cc32bd3dcfe4ce4f,Floral,250ml,labdanum,1720.0,EDP
Dior Oud IspahanFor Unisex,"agarwoodoud,sandalwood,cedar",Unisex,"rose,patchouli,saffron",https://www.noon.com/uae-en/oud-ispahan-edp-for-unisex-125ml/N11074934A/p?o=a2401103367112bd,Arabian,125ml,labdanum,775.3,EDP
Dior Poison Girl,"vanilla,almond,tonka,tolubalsam,sandalwood,heliotrope,cashmeran",Women,"damaskrose,grasserose,orangeblossom",https://www.noon.com/uae-en/poison-girl-edp-100ml/N26193287A/p?o=d0eec55d38e38e3b,,100ml,,304.5,EDP
Dior Poison Girl,"vanilla,almond,tonka,tolubalsam,sandalwood,heliotrope,cashmeran",Women,"damaskrose,grasserose,orangeblossom",https://www.noon.com/uae-en/poison-girl-edp-50ml/N11202017A/p?o=f6137a7046eb350a,,50ml,,340.0,EDP
Dior Poison Girl For Women,"tonka,sandalwood,vanilla,almond,tolubalsamcashmeran,heliotrope",Women,"damaskrose,grasserose,orangeblossom",https://www.noon.com/uae-en/poison-girl-edp-for-women-100ml/N13582483A/p?o=ea3130f2f83f34cc,,100ml,,280.95,EDP
Dior Pure Poison,"sandalwood,whiteamber,cedar,whitemusk",Women,"gardenia,orangeblossom",https://www.noon.com/uae-en/pure-poison-edp-100ml/N13580298A/p?o=c5fb4d4f5f26a83f,,100ml,,455.0,EDP
Dior Santal Noir,turkishrose,Unisex,ambrette,https://www.noon.com/uae-en/santal-noir-edp-250ml/N23100819A/p?o=d18974930f9fb9cf,,250ml,,1759.0,EDP
Dior Sauvage,"ambroxan,vanilla",Men,"sichaunpepper,lavender,staranise,nutmeg",https://www.noon.com/uae-en/sauvage-edp-100ml/N30765697A/p?o=bb093f7649c07abb,Fresh,100ml,,393.65,EDP
Dior Sauvage,"ambroxan,vanilla",Men,"sichuanpepper,lavender,staranise,nutmeg",https://www.noon.com/uae-en/sauvage-edp-60ml/N17447230A/p?o=e9d317052dda8ada,Oriental,60ml,bergamot,269.3,EDP
Dior Sauvage For Men,"ambroxan,cedar,labdanum",Men,"sichuanpepper,lavender,pinkpepper,vetiver,patchouli,geranium,elemi",https://www.noon.com/uae-en/sauvage-edp-for-men-100ml/N15244171A/p?o=f3a5285bb71b932f,,100ml,,341.2,EDP
Dior Sauvage For Men,"tonka,olibanum,vanilla",Men,sandalwood,https://www.noon.com/uae-en/sauvage-parfum-for-men-100ml/N31008547A/p?o=f5dc8481621c0e6d,Arabian,100ml,"bergamot,mandarinorange,elemi",388.65,Parfum
Dior SauvageSpray,"olibanum,tonka,vanilla",Men,sandalwood,https://www.noon.com/uae-en/sauvage-parfum-spray-100ml/N37567275A/p?o=f04387f3ad7fd93b,Citrus,100ml,,447.0,Parfum
Dior Sauvage Perfume,"ambroxan,cedar,labdanum",Men,"sichuanpepper,lavender,pinkpepper,vetiver,patchouli,geranium,elemi",https://www.noon.com/uae-en/sauvage-perfume-100ml/N36479237A/p?o=d1006117a8cc4d9c,,100ml,,425.45,EDP
Diptyque Do Son,"benzoin,musk",Unisex,"tuberose,pinkpepper",https://www.noon.com/uae-en/do-son-edp-75ml/N11756366A/p?o=ecf76cc90f26d43e,,75ml,"africanorangeflower,rose,iris",507.2,EDP
Diptyque Eau Capitale,patchouli,Unisex,rose,https://www.noon.com/uae-en/eau-capitale-edp-75ml/N42947680A/p?o=ad73d2b40ea756cd,Floral,75ml,,625.0,EDP
Diptyque Philosykos,"cdar,woodyaccords,figtree",Unisex,"coconut,greenaccords",https://www.noon.com/uae-en/philosykos-edp-75ml/N11756369A/p?o=df5a016da34b859b,,75ml,"figleaf,fig",497.0,EDP
Dirham,"vetiver,cedar",Men,"cardamom,jasmine,rose",https://www.noon.com/uae-en/edp-100ml/N11974198A/p?o=e6cbfcc68fa292db,,100ml,"lemon,bergamot,lavender",20.0,EDP
Dolce & Gabbana Dolce & Gabbana,"marshmallow,vanilla,sandalwood,heliotrope",Women,"jasmine,orangeblossom",https://www.noon.com/uae-en/dolce-gabbana-edp-100ml/N23637544A/p?o=c01fe974b1b2413e,,100ml,"neroli,raspberry,tangerine",186.1,EDP
Dolce & Gabbana Dolce,"peach,jasmine,caramel,cloves,cedar,rose",Unisex,"vanilla,amber,musk,patchouli,moss",https://www.noon.com/uae-en/dolce-edp-30ml/N38099051A/p?o=b459ce5c307e2c0c,Floral,30ml,,153.5,EDP
Dolce & Gabbana Dolce,"musk,cashmeran",Women,"waterlily,narcissusm,amaryllis",https://www.noon.com/uae-en/dolce-edp-75ml/N11202496A/p?o=e12006a679f8c05e,Floral,75ml,"neroli,papayaflower",181.0,EDP
Dolce & Gabbana Dolce Garden,"vanilla,sandalwood",Women,"coconutessence,almondmilk,frangipani",https://www.noon.com/uae-en/dolce-garden-edp-75ml/N16638275A/p?o=d0816187db22059e,,75ml,"mandarin,neroli,magnolia",145.0,EDP
Dolce & Gabbana Garden,"almondmilk,sandalwood,vanilla",Women,"coconut,frangipani,ylangylangg",https://www.noon.com/uae-en/garden-edp-50ml/N22797937A/p?o=a0683b568d9a3a7c,Floral,50ml,"magnolia,neroli,tangerine",146.15,EDP
Dolce & Gabbana Intense,"sandalwood,musky,ambery,moepel,labdanum",Women,"tuberose,orangeblossom",https://www.noon.com/uae-en/intense-edp-50ml/N13784899A/p?o=d2184a355d443d5b,Sweet,50ml,"greenmandarin,neroli",205.15,EDP
Dolce & Gabbana Intense Pour Femme,"guimauve,sandalwood,musk",Women,"orangeblossom,tuberose",https://www.noon.com/uae-en/intense-pour-femme-edp-100ml/N26365872A/p?o=fcb1310b5b5e182d,Sweet,100ml,,241.9,EDP
Dolce & Gabbana Intenso,"sandalwood,cypress,musk,labdanum,amber",Men,"hay,moepel,clarysage,bran",https://www.noon.com/uae-en/intenso-edp-125ml/N11200829A/p?o=fe93246a0a1e273a,,125ml,,154.0,EDP
Dolce & Gabbana K,"vetiver,cedar,patchouli",Men,"pimento,clarysage,lavender,geranium",https://www.noon.com/uae-en/k-edp-100ml/N40641007A/p?o=c408e09efa3e1fdb,Aromatic,100ml,"juniperberries,citruses,bloodorange,sicilianlemon",228.95,EDP
Dolce & Gabbana Light Blue,"amberwood,musk",Men,"seawater,juniper",https://www.noon.com/uae-en/light-blue-edp-100ml/N23636690A/p?o=cd55fe545350ddfa,Woody,100ml,,301.0,EDP
Dolce & Gabbana Light Blue Eau Intense,"amberwood,musk",Women,"marigold,jasmine",https://www.noon.com/uae-en/light-blue-eau-intense-edp-100ml/N20179563A/p?o=b101a8bad32bd9cd,Woody,100ml,"lemon,grannysmithapple",250.0,EDP
Dolce & Gabbana Light Blue Eau Intense For Men,"amberwood,musk",Men,"seawater,juniper",https://www.noon.com/uae-en/light-blue-eau-intense-edp-for-men-100ml/N12710663A/p?o=eac4e2a0ef05097e,,100ml,,242.55,EDP
Dolce & Gabbana Pack Of Intenso (M),"sandalwood,cypress,musk,labdanum,amber",Men,"tobacco,hay,clarysage,moepel,bran",https://www.noon.com/uae-en/pack-of-2-intenso-m-edp-125ml/N41695890A/p?o=cdcba670bbe1c86e,Spicy,125ml,,297.6,EDP
Dolce & Gabbana Peony,"mirabelle,honey,ambroxan,patchouli",Women,"peony,freesia,bulgarianrose",https://www.noon.com/uae-en/peony-edp-50ml/N31126631A/p?o=c1a06b6e8da51fda,Floral,50ml,"pear,cyclamen,bergamot,pinkpepper",123.4,EDP
Dolce & Gabbana Peony,"mirabelle,honey,ambroxan,patchouli",Women,"peony,freesia,bulgarianrose",https://www.noon.com/uae-en/peony-edp-75ml/N31126630A/p?o=ba80b817b1ba31bb,Floral,75ml,"pear,cyclamen,bergamot,pinkpepper",194.95,EDP
