name,Base Note,Department,Heart/Middle Note,link,Scents/Notes,Size,Top Note,price,concentration
AIGNER Icon,"sandalwood,vanilla,tonka",Women,"jasmine,heliotrope,orangeblossom",https://www.noon.com/uae-en/icon-edp-100ml/N22797917A/p?o=d92870da32db762c,,100ml,"violetleaf,mandarinorange,peach",113.55,EDP
AIGNER No. Oud,"labdanum,vetiver,oud,sandalwood,musk,cedar",Men,"geranium,cinnamon,ginger",https://www.noon.com/uae-en/no-1-oud-edp-100ml/N11200450A/p?o=c549af3b3389f78a,,100ml,"artemisia,cedarleaf,pepper,bergamot",110.85,EDP
AIGNER N°Oud,"agarwood,leather,cashmeran,saffronaccords",Unisex,"jasmine,rose,violet,clove",https://www.noon.com/uae-en/n-1-oud-edp-100ml/N30391197A/p?o=cda05abd08f3d35a,Floral,100ml,,102.45,EDP
AIGNER Starlight,"patchouli,sandalwood,vanilla,whitemusk",Women,"cumin,jasmine,strawberries",https://www.noon.com/uae-en/starlight-edp-100ml/N12880871A/p?o=afc06c7ad755c81a,Floral,100ml,"bergamot,pineapple",87.4,EDP
AIGNER Starlight Gold,"amber,sandalwood,moss,whitemusk,vanilla",Women,"jasmine,rose,violet,ylangylangg,tuberose,whiteorchid",https://www.noon.com/uae-en/starlight-gold-edp-100ml/N16718758A/p?o=f121dafdeb18678d,Floral,100ml,"bergamot,plum,champaka",99.95,EDP
AIGNER Too Feminine,"iris,sandalwood,amber,musk,oakmoss,vetiver",Women,"indiantuberose,tunisianorangeblossom,parmaviolet,magnolia,egyptianjasmine",https://www.noon.com/uae-en/too-feminine-edp-100ml/N11201878A/p?o=e03f02affbcb674e,Arabian,100ml,"passionfruit,grapefruit,watermelon",109.1,EDP
AJ Arabia Black Collection Private Collection I,"sandalwood,cedar,musk",Unisex,"incense,cypress",https://www.noon.com/uae-en/black-collection-private-collection-i-edp-50ml/N23102038A/p?o=db1640f2e9bbe93f,,50ml,"cinnamon,cardamom",405.85,EDP
AL KHAYAM Ahlam Al Arab,"amber,musk",Men,,https://www.noon.com/uae-en/ahlam-al-arab-edp-80ml/N20791270A/p?o=c2f54ca24a38a18f,,80ml,"orientalspices,woody,cedar",45.0,EDP
AL MAS Romantic Perfume,"andalwoodamber,patchouli",Women,orangeblossom,https://www.noon.com/uae-en/romantic-perfume-100ml/N25554021A/p?o=cffa2ecbd5c8dfcd,,100ml,,129.7,EDP
ALAIA Paris,"tonka,musk,leather",Women,orangeblossom,https://www.noon.com/uae-en/paris-edp-100ml/N13789988A/p?o=aca5ca3751a0e9cf,,100ml,"mountainair,pinkpepper",324.1,EDP
ALEXANDER MC QUEEN McQueen Eau Blanche,"whiteflowers,sambacjasmine",Women,"sleekwood,whitemusk",https://www.noon.com/uae-en/mcqueen-eau-blanche-edp-75ml/N20179742A/p?o=cc6ebb83fb63ee9a,Floral,75ml,violet,137.35,EDP
